what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1333453974839
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1333453974959
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1333453975010
error,log,,,"Error logged from Debug UI: ",1333453975056
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1333453975903
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333453975903
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333454165063
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333454546068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333454578536
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333454580301
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.rename.element",1333454580324
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333454609282
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333454624162
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333454649994
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333454658167
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.rename.element",1333454658195
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333454680070
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333454680083
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1333454694489
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333454694699
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333454694720
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333454698720
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333454700345
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333454700345
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1333454703808
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333454721373
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333454725695
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333454744168
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333454750948
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.rename.element",1333454750983
